0,1
/home/rpalomares/TFM/TFM-Docs-01-40-ALTO/lines/IMG_5876_output_21.png,Londres quatro de enero demil setecientos noventa y tres por
/home/rpalomares/TFM/TFM-Docs-01-40-ALTO/lines/IMG_5880_output_07.png,del mes de Febrero del año de mil se-
/home/rpalomares/TFM/TFM-Docs-01-40-ALTO/lines/IMG_5888_output_19.png,mercio aquien doy fee conosco
/home/rpalomares/TFM/TFM-Docs-01-40-ALTO/lines/IMG_5861_output_30.png,te Lopez Cadiz=en caso necesario en casa del Sor. Conde de
/home/rpalomares/TFM/TFM-Docs-01-40-ALTO/lines/IMG_5868_output_14.png,ochenta y tres Doblones doze reales de pla-
/home/rpalomares/TFM/TFM-Docs-01-40-ALTO/lines/IMG_5866_output_02.png,"SELLO QVARTO,VEINTE"
/home/rpalomares/TFM/TFM-Docs-01-40-ALTO/lines/IMG_5897_output_05.png,TRES.
/home/rpalomares/TFM/TFM-Docs-01-40-ALTO/lines/IMG_5889_output_25.png,"y fueron presentes por testigos. Dn. Josef Pelaez, Dn. Ra"
/home/rpalomares/TFM/TFM-Docs-01-40-ALTO/lines/IMG_5895_output_06.png,forma qe. puedo qe. no firmo pr. no ser
/home/rpalomares/TFM/TFM-Docs-01-40-ALTO/lines/IMG_5873_output_24.png,"que dicha es, en la forma que puedo, y deque"
/home/rpalomares/TFM/TFM-Docs-01-40-ALTO/lines/IMG_5880_output_30.png,Y asi copiada dicha Letra y endoso el expresado Dn. Diego Duff
/home/rpalomares/TFM/TFM-Docs-01-40-ALTO/lines/IMG_5900_output_26.png,Paguese a la orden de los Sres. Batiez Jomlin y Compañia de
/home/rpalomares/TFM/TFM-Docs-01-40-ALTO/lines/IMG_5896_output_38.png,protestas que anteceden el que enterado dixo por
/home/rpalomares/TFM/TFM-Docs-01-40-ALTO/lines/IMG_5890_output_39.png,sin dilacion respecto a hallarse aceptada y cumplir este
/home/rpalomares/TFM/TFM-Docs-01-40-ALTO/lines/IMG_5886_output_17.png,quien doy fe conosco y me exhivio una letra
/home/rpalomares/TFM/TFM-Docs-01-40-ALTO/lines/IMG_5893_output_04.png,"Librador, endosantes, y de quien mas haia lugr. me ge."
/home/rpalomares/TFM/TFM-Docs-01-40-ALTO/lines/IMG_5888_output_09.png,Los Señores Counant
/home/rpalomares/TFM/TFM-Docs-01-40-ALTO/lines/IMG_5894_output_24.png,entos noventa y tres: Por Doblones Docientos cator-
/home/rpalomares/TFM/TFM-Docs-01-40-ALTO/lines/IMG_5872_output_26.png,Letra primera de Cambio que copiada su tenor
/home/rpalomares/TFM/TFM-Docs-01-40-ALTO/lines/IMG_5888_output_14.png,y tres Ante mi el Ynfraescrip-
/home/rpalomares/TFM/TFM-Docs-01-40-ALTO/lines/IMG_5897_output_04.png,SETECIENTOS NOVENTA Y
/home/rpalomares/TFM/TFM-Docs-01-40-ALTO/lines/IMG_5871_output_23.png,su favr. el mas bastante recibo y cecion de accions. que
/home/rpalomares/TFM/TFM-Docs-01-40-ALTO/lines/IMG_5864_output_06.png,Noviembre de mil setecientos noventa y
/home/rpalomares/TFM/TFM-Docs-01-40-ALTO/lines/IMG_5877_output_01.png,"por su respuesta, no obstante la qual el requirente se afirmo en su"
/home/rpalomares/TFM/TFM-Docs-01-40-ALTO/lines/IMG_5868_output_21.png,Bridel y Compañia.
/home/rpalomares/TFM/TFM-Docs-01-40-ALTO/lines/IMG_5871_output_22.png,"assi en Juicio como fuera de el, Sres. qe. otorgaron en"
/home/rpalomares/TFM/TFM-Docs-01-40-ALTO/lines/IMG_5861_output_04.png,SETECIENTOS NOVENTA Y
/home/rpalomares/TFM/TFM-Docs-01-40-ALTO/lines/IMG_5884_output_21.png,demi mismo que pagara en cuenta segun aviso desu servidor Michel
/home/rpalomares/TFM/TFM-Docs-01-40-ALTO/lines/IMG_5892_output_38.png,"inte y ocho quartos en especie de oro u plata, valor recivdo"
/home/rpalomares/TFM/TFM-Docs-01-40-ALTO/lines/IMG_5887_output_20.png,no ser necesario y atodofueron testigos Dn. Josef Pelaez Dn. Ju-
/home/rpalomares/TFM/TFM-Docs-01-40-ALTO/lines/IMG_5888_output_37.png,los mismos. Londres cinco de Febrero de mil setecien-
/home/rpalomares/TFM/TFM-Docs-01-40-ALTO/lines/IMG_5894_output_11.png,inte y uno de marzo de mil Sete-
/home/rpalomares/TFM/TFM-Docs-01-40-ALTO/lines/IMG_5875_output_10.png,"Josef Pelaez, Dn. Rafael delos Rios, y dn Juan"
/home/rpalomares/TFM/TFM-Docs-01-40-ALTO/lines/IMG_5894_output_44.png,"da Letra a Dn. Santos Monastien, por qn. entendida"
/home/rpalomares/TFM/TFM-Docs-01-40-ALTO/lines/IMG_5900_output_32.png,mil setecientos noventa y tres=Bartien Jomlin y compaña=
/home/rpalomares/TFM/TFM-Docs-01-40-ALTO/lines/IMG_5871_output_05.png,"to ong. de primo. y segundo Protesto, y la de"
/home/rpalomares/TFM/TFM-Docs-01-40-ALTO/lines/IMG_5900_output_42.png,zon necesarios. E yo el Escrivano lo hize presente y re-
/home/rpalomares/TFM/TFM-Docs-01-40-ALTO/lines/IMG_5880_output_14.png,al Castellano con el endoso que la
/home/rpalomares/TFM/TFM-Docs-01-40-ALTO/lines/IMG_5889_output_20.png,on que le asiste en tan pronto a aceptar la nomi-
/home/rpalomares/TFM/TFM-Docs-01-40-ALTO/lines/IMG_5878_output_15.png,mayor del Cavildo y Ayuntamiento deella
/home/rpalomares/TFM/TFM-Docs-01-40-ALTO/lines/IMG_5884_output_38.png,"cambios y recambios que se causaren serian desu cuenta, la"
/home/rpalomares/TFM/TFM-Docs-01-40-ALTO/lines/IMG_5867_output_03.png,Dn. Andres Lacasaigne
/home/rpalomares/TFM/TFM-Docs-01-40-ALTO/lines/IMG_5865_output_03.png,asiste dixo estaba pronto a hazer el pago en si mismo
/home/rpalomares/TFM/TFM-Docs-01-40-ALTO/lines/IMG_5874_output_18.png,antecedentes y sus vienes el ymporte
/home/rpalomares/TFM/TFM-Docs-01-40-ALTO/lines/IMG_5878_output_04.png,SETECIENTOS NOVENTA Y
/home/rpalomares/TFM/TFM-Docs-01-40-ALTO/lines/IMG_5873_output_05.png,otro
/home/rpalomares/TFM/TFM-Docs-01-40-ALTO/lines/IMG_5868_output_23.png,Paguese a la orden de los Sres. Foulton Rau-
/home/rpalomares/TFM/TFM-Docs-01-40-ALTO/lines/IMG_5881_output_02.png,"SELLO QVARTO, VEINTE"
/home/rpalomares/TFM/TFM-Docs-01-40-ALTO/lines/IMG_5896_output_01.png,Protesto de Letra
/home/rpalomares/TFM/TFM-Docs-01-40-ALTO/lines/IMG_5870_output_26.png,hizo pago en si mismo cn. onor a la Ain-
/home/rpalomares/TFM/TFM-Docs-01-40-ALTO/lines/IMG_5898_output_26.png,u plata valor recivido de los señores Cannera y
/home/rpalomares/TFM/TFM-Docs-01-40-ALTO/lines/IMG_5872_output_23.png,Guillermo Gordon de esta vezindad y comercio a
/home/rpalomares/TFM/TFM-Docs-01-40-ALTO/lines/IMG_5886_output_35.png,de dho Sor. Amsterdam= trece de diciembre demil setecientos nobenta y dos.
/home/rpalomares/TFM/TFM-Docs-01-40-ALTO/lines/IMG_5884_output_24.png,Paguese a la orden delos Sres. Priout Valleery en cuenta=Michel Vallet= Paguese
/home/rpalomares/TFM/TFM-Docs-01-40-ALTO/lines/IMG_5889_output_28.png,Josef Rodriguez
